anger,rejection,authority,social_cost,pressure_score,apparent_correction,initial_belief,final_belief
0,0,0,0,0.0,False,0,0
0,0,0,0.25,0.05,False,0,0
0,0,0,0.5,0.1,False,0,0
0,0,0,0.75,0.15000000000000002,False,0,0
0,0,0,1,0.2,False,0,0
0,0,0.25,0,0.0375,False,0,0
0,0,0.25,0.25,0.0875,False,0,0
0,0,0.25,0.5,0.1375,False,0,0
0,0,0.25,0.75,0.18750000000000003,False,0,0
0,0,0.25,1,0.23750000000000002,False,0,0
0,0,0.5,0,0.075,False,0,0
0,0,0.5,0.25,0.125,False,0,0
0,0,0.5,0.5,0.175,False,0,0
0,0,0.5,0.75,0.22500000000000003,False,0,0
0,0,0.5,1,0.275,False,0,0
0,0,0.75,0,0.11249999999999999,False,0,0
0,0,0.75,0.25,0.16249999999999998,False,0,0
0,0,0.75,0.5,0.2125,False,0,0
0,0,0.75,0.75,0.2625,False,0,0
0,0,0.75,1,0.3125,False,0,0
0,0,1,0,0.15,False,0,0
0,0,1,0.25,0.2,False,0,0
0,0,1,0.5,0.25,False,0,0
0,0,1,0.75,0.30000000000000004,False,0,0
0,0,1,1,0.35,False,0,0
0,0.25,0,0,0.0625,False,0,0
0,0.25,0,0.25,0.1125,False,0,0
0,0.25,0,0.5,0.1625,False,0,0
0,0.25,0,0.75,0.21250000000000002,False,0,0
0,0.25,0,1,0.2625,False,0,0
0,0.25,0.25,0,0.1,False,0,0
0,0.25,0.25,0.25,0.15000000000000002,False,0,0
0,0.25,0.25,0.5,0.2,False,0,0
0,0.25,0.25,0.75,0.25,False,0,0
0,0.25,0.25,1,0.30000000000000004,False,0,0
0,0.25,0.5,0,0.1375,False,0,0
0,0.25,0.5,0.25,0.1875,False,0,0
0,0.25,0.5,0.5,0.23750000000000002,False,0,0
0,0.25,0.5,0.75,0.28750000000000003,False,0,0
0,0.25,0.5,1,0.3375,False,0,0
0,0.25,0.75,0,0.175,False,0,0
0,0.25,0.75,0.25,0.22499999999999998,False,0,0
0,0.25,0.75,0.5,0.275,False,0,0
0,0.25,0.75,0.75,0.325,False,0,0
0,0.25,0.75,1,0.375,False,0,0
0,0.25,1,0,0.2125,False,0,0
0,0.25,1,0.25,0.2625,False,0,0
0,0.25,1,0.5,0.3125,False,0,0
0,0.25,1,0.75,0.36250000000000004,False,0,0
0,0.25,1,1,0.4125,False,0,0
0,0.5,0,0,0.125,False,0,0
0,0.5,0,0.25,0.175,False,0,0
0,0.5,0,0.5,0.225,False,0,0
0,0.5,0,0.75,0.275,False,0,0
0,0.5,0,1,0.325,False,0,0
0,0.5,0.25,0,0.1625,False,0,0
0,0.5,0.25,0.25,0.21250000000000002,False,0,0
0,0.5,0.25,0.5,0.2625,False,0,0
0,0.5,0.25,0.75,0.3125,False,0,0
0,0.5,0.25,1,0.36250000000000004,False,0,0
0,0.5,0.5,0,0.2,False,0,0
0,0.5,0.5,0.25,0.25,False,0,0
0,0.5,0.5,0.5,0.30000000000000004,False,0,0
0,0.5,0.5,0.75,0.35000000000000003,False,0,0
0,0.5,0.5,1,0.4,False,0,0
0,0.5,0.75,0,0.2375,False,0,0
0,0.5,0.75,0.25,0.2875,False,0,0
0,0.5,0.75,0.5,0.3375,False,0,0
0,0.5,0.75,0.75,0.3875,False,0,0
0,0.5,0.75,1,0.4375,False,0,0
0,0.5,1,0,0.275,False,0,0
0,0.5,1,0.25,0.325,False,0,0
0,0.5,1,0.5,0.375,False,0,0
0,0.5,1,0.75,0.42500000000000004,False,0,0
0,0.5,1,1,0.47500000000000003,False,0,0
0,0.75,0,0,0.1875,False,0,0
0,0.75,0,0.25,0.2375,False,0,0
0,0.75,0,0.5,0.2875,False,0,0
0,0.75,0,0.75,0.3375,False,0,0
0,0.75,0,1,0.3875,False,0,0
0,0.75,0.25,0,0.225,False,0,0
0,0.75,0.25,0.25,0.275,False,0,0
0,0.75,0.25,0.5,0.325,False,0,0
0,0.75,0.25,0.75,0.375,False,0,0
0,0.75,0.25,1,0.42500000000000004,False,0,0
0,0.75,0.5,0,0.2625,False,0,0
